지역명,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04
전국,463.4798,464.6865,470.382,480.673,489.6574,499.2861,504.734,515.886,526.8996,537.7083,550.9898,562.8775,571.6609,579.4708,591.2436,600.9188,614.1601,627.4059,638.0681,651.025,661.5526,669.842766,678.294144,681.710655,684.4330039,686.7141032,687.3040829,686.0723241,680.0057447,673.6038087,659.873399,662.855171,650.388838,634.84807,625.899204,617.3745606,609.3395006,604.285,603.2308992,602.5509216,604.3549658,606.8619941,608.8858403,610.6220032,610.3584973,609.7612373,609.1337125,608.459599,608.0671522,608.0884824,609.0232767,611.7600418,615.8762058,619.5088864,622.0396214,624.2200953,625.6554071,625.524092,625.7033555,628.6034615,634.9737073
서울,1064.1961,1065.1334,1077.602,1109.1807,1138.6231,1168.7568,1182.0839,1203.8463,1222.0933,1243.6807,1268.7304,1290.6377,1304.1752,1318.3525,1340.8506,1358.267,1381.9769,1407.3493,1435.8204,1468.9959,1495.2413,1515.946134,1537.226823,1546.156018,1553.762235,1560.849028,1562.891826,1561.609131,1554.206503,1543.239925,1517.2795,1533.314664,1510.049073,1477.199626,1458.741751,1439.20908,1426.117915,1410.607167,1408.623001,1407.837872,1412.339376,1419.996512,1426.191384,1429.747966,1428.593325,1426.055415,1424.457165,1423.359887,1423.326605,1425.131032,1430.140729,1444.457838,1462.774027,1479.825893,1490.626746,1502.382681,1512.996609,1515.709507,1520.103362,1540.692674,1578.260788
강북14개구,863.759,866.0876,880.5357,907.2865,935.9398,965.7491,979.1508,1001.291,1017.61,1037.6517,1059.7345,1081.9477,1096.3266,1109.1734,1128.3472,1143.7659,1164.9102,1189.6051,1212.3766,1237.7859,1258.3213,1274.303106,1290.568271,1297.047717,1302.424993,1307.216615,1308.67184,1307.185131,1298.94819,1291.552987,1266.5264,1282.872317,1265.515837,1237.533317,1220.477199,1201.812689,1189.12638,1177.90535,1172.06062,1166.820546,1164.132827,1166.953214,1168.879149,1172.136364,1171.081881,1169.637273,1168.190268,1167.172674,1165.562601,1165.591433,1169.145601,1175.772683,1184.402354,1194.368986,1200.182644,1203.816239,1210.014401,1210.975046,1213.762253,1219.668269,1229.986568
종로구,867.5882,873.6463,881.2486,888.4478,907.6027,938.6102,945.4507,956.1857,970.6298,981.8754,999.0027,1008.6062,1031.4792,1038.2168,1044.5834,1054.6013,1063.2009,1080.273,1090.2156,1104.785,1113.3293,1113.717456,1113.717456,1116.206889,1119.538419,1128.1465,1133.231578,1134.562716,1134.230945,1134.457935,1136.190146,1449.133561,1447.472295,1445.200366,1442.356216,1412.570543,1382.5419,1372.825804,1374.952906,1375.896161,1378.530624,1382.793524,1384.609772,1386.138071,1386.348402,1386.690155,1386.233937,1386.379606,1389.094746,1388.535673,1392.073325,1403.893698,1410.600066,1419.75432,1420.35064,1422.470739,1424.244652,1425.036587,1425.577452,1439.959962,1472.681381
중구,1036.6833,1045.1087,1060.8859,1081.3839,1116.653,1147.5967,1160.6472,1188.517,1209.0931,1229.54,1262.3497,1269.6298,1281.9916,1298.887,1310.3765,1321.083,1326.6843,1347.1017,1355.716,1372.0859,1378.0933,1379.627808,1379.627808,1379.627808,1381.117038,1382.183463,1383.044686,1390.068733,1389.800726,1392.013833,1388.972966,1462.184459,1433.586269,1415.811453,1405.776878,1388.433702,1378.440617,1365.62538,1359.863287,1355.845857,1355.459781,1356.931872,1358.565215,1358.600498,1359.795576,1361.238541,1359.017429,1359.349833,1356.237685,1362.111383,1366.573816,1379.954978,1401.159253,1418.665254,1424.614538,1429.027949,1435.403226,1438.620407,1439.541011,1441.660042,1458.6506
용산구,1382.3024,1383.4399,1387.1083,1406.2928,1430.8152,1454.3168,1466.361,1486.1101,1493.9053,1511.9324,1531.3722,1555.5193,1570.6436,1582.9673,1604.9187,1622.2845,1659.8421,1694.8625,1712.3425,1746.0398,1764.2415,1772.452979,1779.334865,1788.512527,1793.364012,1819.711118,1845.73991,1849.410151,1850.231187,1854.561751,1851.765106,2046.577001,2037.346567,2018.4808,2012.216464,2006.064974,1999.505664,1984.88522,1972.254885,1960.755817,1958.770643,1964.733643,1972.29192,2003.777991,2010.357934,2007.771954,2007.287729,2006.548799,2011.50495,2013.835185,2023.225736,2041.491853,2056.992923,2071.185754,2082.363068,2095.995545,2134.471533,2141.476402,2148.478146,2179.437456,2231.788195
성동구,1185.9048,1186.495,1198.9527,1229.9231,1263.6318,1304.1096,1324.644,1347.7212,1359.2005,1398.2022,1421.5994,1436.5542,1466.5901,1476.7833,1497.3869,1506.5045,1523.3382,1567.0327,1589.3449,1600.3706,1601.8051,1610.245748,1618.207501,1621.254758,1621.661059,1622.843358,1623.468047,1623.72444,1624.411559,1623.595875,1621.026789,1771.2185,1752.587731,1712.570693,1682.94123,1647.377951,1632.952794,1621.827442,1617.590127,1613.092892,1616.098785,1624.328422,1630.280979,1634.818124,1636.429907,1635.228358,1634.575085,1634.440605,1638.336464,1641.984258,1652.274554,1678.248553,1700.825578,1723.075064,1742.684432,1751.796322,1759.194117,1762.374571,1767.63011,1784.555784,1817.539242
광진구,1167.432,1168.8842,1183.0128,1217.5453,1253.2104,1291.2227,1300.0476,1316.1997,1342.6441,1355.2114,1369.5665,1384.5936,1391.5622,1399.4008,1413.0614,1438.9759,1463.6249,1490.0024,1493.6858,1515.9008,1521.4273,1524.57949,1530.500537,1531.826231,1538.962809,1544.051198,1549.814187,1552.170473,1557.809073,1553.951832,1547.834426,1614.147419,1603.569672,1576.200164,1558.841252,1529.897262,1518.286021,1506.89113,1499.433975,1498.95778,1497.437214,1500.314207,1506.321334,1508.735241,1508.843722,1509.087276,1507.823127,1506.799671,1505.270444,1504.718493,1508.236901,1519.06015,1552.402122,1571.243303,1583.112614,1591.23558,1595.050383,1596.287786,1599.366945,1606.215885,1632.594541
동대문구,842.4733,845.4515,862.7224,884.7049,904.7914,936.4722,952.0347,975.221,983.4261,1005.5596,1028.2275,1044.7041,1052.7816,1061.3826,1079.2194,1092.0387,1113.9803,1144.1979,1155.4266,1165.4176,1166.5652,1172.345727,1170.621134,1169.892605,1173.30472,1173.339698,1175.373079,1172.568419,1171.932182,1169.717111,1160.329555,1198.798245,1176.845911,1145.982942,1127.770633,1113.914332,1099.717136,1086.580465,1081.63235,1076.898715,1075.327703,1078.181859,1081.863707,1081.33221,1079.360857,1083.681003,1083.122021,1081.572305,1078.842946,1077.902197,1077.778304,1088.061045,1101.552972,1112.171872,1116.157783,1118.5762,1124.885935,1127.197895,1126.685305,1140.798829,1144.405549
중랑구,646.8864,650.2582,663.0821,681.0516,707.9277,734.1289,745.3345,763.7906,776.7099,782.3569,796.9205,813.4419,823.3587,833.2853,851.0603,870.964,900.6599,918.2899,936.0382,946.0555,953.8976,954.621006,955.367582,955.367582,955.7298291,956.2321532,958.0804986,959.2694242,959.2694242,959.1719607,957.0696257,980.1914409,972.6396719,963.1323249,956.440759,952.5437309,940.3366376,927.3997498,915.7942561,909.3339007,903.3800652,903.577457,899.6461045,895.472108,893.6964475,893.1463034,891.7962417,889.8757878,880.0920572,876.7376856,877.036369,878.3780768,881.3894629,886.8481873,887.5801371,888.5805168,888.2161243,887.8324263,887.6889216,888.0611114,889.6421371
